id,area_id,waste_type,rule_type,weekdays,nth_weeks,note,created_at,updated_at
47,10,NON_BURNABLE,NTH_WEEKDAY,THU,"1,3",,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
48,10,PLASTIC,WEEKDAY,TUE,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
49,10,CAN_BOTTLE,WEEKDAY,FRI,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
50,10,PAPER,WEEKDAY,FRI,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
51,11,BURNABLE,WEEKDAY,"WED,SAT",,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
52,11,NON_BURNABLE,NTH_WEEKDAY,THU,"1,3",,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
53,11,PLASTIC,WEEKDAY,TUE,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
54,11,CAN_BOTTLE,WEEKDAY,FRI,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
55,11,PAPER,WEEKDAY,FRI,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
56,12,BURNABLE,WEEKDAY,"TUE,FRI",,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
57,12,NON_BURNABLE,NTH_WEEKDAY,WED,"2,4",,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
58,12,PLASTIC,WEEKDAY,MON,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
59,12,CAN_BOTTLE,WEEKDAY,THU,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
60,12,PAPER,WEEKDAY,THU,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
61,13,BURNABLE,WEEKDAY,"TUE,FRI",,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
62,13,NON_BURNABLE,NTH_WEEKDAY,WED,"2,4",,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
63,13,PLASTIC,WEEKDAY,MON,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
64,13,CAN_BOTTLE,WEEKDAY,THU,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
65,13,PAPER,WEEKDAY,THU,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
66,14,BURNABLE,WEEKDAY,"TUE,FRI",,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
67,14,NON_BURNABLE,NTH_WEEKDAY,SAT,"1,3",,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
68,14,PLASTIC,WEEKDAY,MON,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
69,14,CAN_BOTTLE,WEEKDAY,THU,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
70,14,PAPER,WEEKDAY,THU,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
71,15,BURNABLE,WEEKDAY,"TUE,FRI",,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
72,15,NON_BURNABLE,NTH_WEEKDAY,SAT,"2,4",,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
73,15,PLASTIC,WEEKDAY,MON,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
74,15,CAN_BOTTLE,WEEKDAY,THU,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
75,15,PAPER,WEEKDAY,THU,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
76,16,BURNABLE,WEEKDAY,"TUE,FRI",,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
77,16,NON_BURNABLE,NTH_WEEKDAY,SAT,"2,4",,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
78,16,PLASTIC,WEEKDAY,MON,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
79,16,CAN_BOTTLE,WEEKDAY,THU,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
80,16,PAPER,WEEKDAY,THU,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
81,17,BURNABLE,WEEKDAY,"TUE,FRI",,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
82,17,NON_BURNABLE,NTH_WEEKDAY,WED,"2,4",,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
83,17,PLASTIC,WEEKDAY,MON,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
84,17,CAN_BOTTLE,WEEKDAY,THU,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
85,17,PAPER,WEEKDAY,THU,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
86,18,BURNABLE,WEEKDAY,"TUE,FRI",,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
87,18,NON_BURNABLE,NTH_WEEKDAY,WED,"2,4",,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
88,18,PLASTIC,WEEKDAY,MON,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
89,18,CAN_BOTTLE,WEEKDAY,THU,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
90,18,PAPER,WEEKDAY,THU,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
91,19,BURNABLE,WEEKDAY,"TUE,FRI",,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
92,19,NON_BURNABLE,NTH_WEEKDAY,WED,"2,4",,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
93,19,PLASTIC,WEEKDAY,MON,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
94,19,CAN_BOTTLE,WEEKDAY,THU,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
95,19,PAPER,WEEKDAY,THU,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
96,20,BURNABLE,WEEKDAY,"TUE,FRI",,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
97,20,NON_BURNABLE,NTH_WEEKDAY,WED,"1,3",,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
98,20,PLASTIC,WEEKDAY,MON,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
99,20,CAN_BOTTLE,WEEKDAY,THU,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
100,20,PAPER,WEEKDAY,THU,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
101,21,BURNABLE,WEEKDAY,"TUE,FRI",,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
102,21,NON_BURNABLE,NTH_WEEKDAY,WED,"1,3",,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
